id,value
LeoBook,
LeoBook|J. K. Rowling,
LeoBook|J. K. Rowling|Ficción,
LeoBook|J. K. Rowling|Ficción|Harry Potter,118,
LeoBook|J. K. Rowling|Ficción|Prueba 1,293,
LeoBook|J. K. Rowling|Ficción|Prueba 2,953,
LeoBook|J. K. Rowling|Ficción|Prueba 3,1224,
LeoBook|J. K. Rowling|Ficción|Prueba 4,1238,
LeoBook|J. K. Rowling|Ficción;Comedia;Fantasía,
LeoBook|J. K. Rowling|Ficción;Comedia;Fantasía|Animales Fantasticos,1352,
LeoBook|Ernest Hemingway,
LeoBook|Ernest Hemingway|Ficción,
LeoBook|Ernest Hemingway|Ficción|El viejo y el mar,997,
LeoBook|Ernest Hemingway|Acción,
LeoBook|Ernest Hemingway|Acción|Por quíen se doblan las campanas,1405,
