id,value
LeoBook,
LeoBook|J. K. Rowling,
LeoBook|J. K. Rowling|Ficción,
LeoBook|J. K. Rowling|Ficción|Harry Potter,929,
LeoBook|J. K. Rowling|Ficción|Prueba 1,951,
LeoBook|J. K. Rowling|Ficción|Prueba 2,668,
LeoBook|J. K. Rowling|Ficción|Prueba 3,510,
LeoBook|J. K. Rowling|Ficción|Prueba 4,403,
LeoBook|J. K. Rowling|Ficción;Comedia;Fantasía,
LeoBook|J. K. Rowling|Ficción;Comedia;Fantasía|Animales Fantasticos,1229,
LeoBook|Ernest Hemingway,
LeoBook|Ernest Hemingway|Ficción,
LeoBook|Ernest Hemingway|Ficción|El viejo y el mar,223,
LeoBook|Ernest Hemingway|Acción,
LeoBook|Ernest Hemingway|Acción|Por quíen se doblan las campanas,1388,
